simulatorType,day,roomId,shortage
dynamic,27,39,0
dynamic,27,40,0
dynamic,27,41,0
dynamic,27,42,2
dynamic,27,43,0
dynamic,27,44,5
dynamic,27,45,0
dynamic,27,46,0
dynamic,27,47,2
dynamic,27,48,2
dynamic,27,49,1
dynamic,27,50,1
dynamic,27,51,1
dynamic,27,52,0
dynamic,27,53,0
dynamic,27,54,5
dynamic,27,55,2
dynamic,27,56,2
dynamic,27,57,0
dynamic,27,58,2
dynamic,27,59,0
dynamic,27,60,0
dynamic,27,61,0
dynamic,27,62,0
dynamic,27,63,5
dynamic,27,64,0
dynamic,27,65,0
dynamic,27,66,0
dynamic,27,67,0
dynamic,27,68,0
dynamic,27,69,0
dynamic,27,70,1
dynamic,27,71,0
dynamic,27,72,3
dynamic,27,73,0
dynamic,27,74,8
dynamic,27,75,2
dynamic,27,76,0
dynamic,27,77,0
dynamic,27,78,0
dynamic,27,79,1
dynamic,27,80,2
dynamic,27,81,0
dynamic,27,82,0
dynamic,27,83,0
dynamic,27,84,4
dynamic,27,85,0
dynamic,27,86,1
dynamic,27,87,0
dynamic,27,88,0
dynamic,27,89,7
dynamic,27,90,0
dynamic,27,91,2
dynamic,27,92,0
dynamic,27,93,1
dynamic,27,94,0
dynamic,27,95,0
dynamic,27,96,1
dynamic,27,97,0
dynamic,27,98,0
dynamic,27,99,0
static,28,0,0
static,28,1,0
static,28,2,0
static,28,3,0
static,28,4,0
static,28,5,1
static,28,6,0
static,28,7,0
static,28,8,0
static,28,9,0
static,28,10,0
static,28,11,1
static,28,12,2
static,28,13,0
static,28,14,0
static,28,15,0
static,28,16,2
static,28,17,1
static,28,18,0
static,28,19,7
static,28,20,0
static,28,21,0
static,28,22,0
static,28,23,0
static,28,24,0
static,28,25,2
static,28,26,0
static,28,27,0
static,28,28,0
static,28,29,0
static,28,30,0
static,28,31,2
static,28,32,0
static,28,33,0
static,28,34,0
static,28,35,0
static,28,36,0
static,28,37,0
static,28,38,0
static,28,39,0
static,28,40,0
static,28,41,0
static,28,42,0
static,28,43,0
static,28,44,2
static,28,45,0
static,28,46,0
static,28,47,0
static,28,48,0
static,28,49,0
static,28,50,0
static,28,51,0
static,28,52,0
static,28,53,0
static,28,54,1
static,28,55,0
static,28,56,0
static,28,57,0
static,28,58,0
static,28,59,0
static,28,60,1
static,28,61,2
static,28,62,0
static,28,63,1
static,28,64,4
static,28,65,0
static,28,66,3
static,28,67,0
static,28,68,0
static,28,69,0
static,28,70,1
static,28,71,1
static,28,72,1
static,28,73,9
static,28,74,5
static,28,75,2
static,28,76,0
static,28,77,0
static,28,78,0
static,28,79,0
static,28,80,3
static,28,81,0
static,28,82,0
static,28,83,3
static,28,84,0
static,28,85,1
static,28,86,2
static,28,87,0
static,28,88,0
static,28,89,7
static,28,90,1
static,28,91,2
static,28,92,0
static,28,93,0
static,28,94,0
static,28,95,0
static,28,96,3
static,28,97,0
static,28,98,0
static,28,99,0
dynamic,28,0,0
dynamic,28,1,0
dynamic,28,2,0
dynamic,28,3,0
dynamic,28,4,0
dynamic,28,5,0
dynamic,28,6,0
dynamic,28,7,0
dynamic,28,8,3
dynamic,28,9,0
dynamic,28,10,0
dynamic,28,11,0
dynamic,28,12,1
dynamic,28,13,0
dynamic,28,14,0
dynamic,28,15,1
dynamic,28,16,0
dynamic,28,17,0
dynamic,28,18,0
dynamic,28,19,1
dynamic,28,20,0
dynamic,28,21,0
dynamic,28,22,0
dynamic,28,23,0
dynamic,28,24,0
dynamic,28,25,1
dynamic,28,26,0
dynamic,28,27,0
dynamic,28,28,0
dynamic,28,29,0
dynamic,28,30,0
dynamic,28,31,0
dynamic,28,32,0
dynamic,28,33,0
dynamic,28,34,0
dynamic,28,35,0
dynamic,28,36,0
dynamic,28,37,0
dynamic,28,38,0
dynamic,28,39,0
dynamic,28,40,0
dynamic,28,41,0
dynamic,28,42,0
dynamic,28,43,0
dynamic,28,44,0
dynamic,28,45,0
dynamic,28,46,0
dynamic,28,47,0
dynamic,28,48,0
dynamic,28,49,0
dynamic,28,50,0
dynamic,28,51,0
dynamic,28,52,0
dynamic,28,53,0
dynamic,28,54,0
dynamic,28,55,0
dynamic,28,56,0
dynamic,28,57,0
dynamic,28,58,0
dynamic,28,59,0
dynamic,28,60,2
dynamic,28,61,0
dynamic,28,62,0
dynamic,28,63,3
dynamic,28,64,4
dynamic,28,65,6
dynamic,28,66,2
dynamic,28,67,0
dynamic,28,68,4
dynamic,28,69,7
dynamic,28,70,2
dynamic,28,71,1
dynamic,28,72,1
dynamic,28,73,4
dynamic,28,74,1
dynamic,28,75,1
dynamic,28,76,0
dynamic,28,77,0
dynamic,28,78,0
dynamic,28,79,1
dynamic,28,80,2
dynamic,28,81,1
dynamic,28,82,0
dynamic,28,83,0
dynamic,28,84,2
dynamic,28,85,0
dynamic,28,86,1
dynamic,28,87,0
dynamic,28,88,0
dynamic,28,89,6
dynamic,28,90,1
dynamic,28,91,3
dynamic,28,92,0
dynamic,28,93,2
dynamic,28,94,0
dynamic,28,95,0
dynamic,28,96,2
dynamic,28,97,0
dynamic,28,98,0
dynamic,28,99,3
static,29,0,0
static,29,1,0
static,29,2,1
static,29,3,0
static,29,4,0
static,29,5,2
static,29,6,0
static,29,7,0
static,29,8,2
static,29,9,0
static,29,10,0
static,29,11,1
static,29,12,5
static,29,13,0
static,29,14,0
static,29,15,0
static,29,16,1
static,29,17,1
static,29,18,0
static,29,19,1
static,29,20,0
static,29,21,0
static,29,22,2
static,29,23,0
static,29,24,0
static,29,25,9
static,29,26,0
static,29,27,0
static,29,28,0
static,29,29,0
static,29,30,0
static,29,31,0
static,29,32,0
static,29,33,0
static,29,34,1
static,29,35,0
static,29,36,0
static,29,37,7
static,29,38,0
static,29,39,0
static,29,40,0
static,29,41,0
static,29,42,2
static,29,43,0
static,29,44,1
static,29,45,0
static,29,46,1
static,29,47,0
static,29,48,0
static,29,49,0
static,29,50,0
static,29,51,0
static,29,52,0
static,29,53,0
static,29,54,4
static,29,55,0
static,29,56,0
static,29,57,0
static,29,58,0
static,29,59,0
static,29,60,0
static,29,61,0
static,29,62,0
static,29,63,0
static,29,64,0
static,29,65,0
static,29,66,0
static,29,67,0
static,29,68,0
static,29,69,0
static,29,70,0
static,29,71,0
static,29,72,0
static,29,73,0
static,29,74,4
static,29,75,0
static,29,76,0
static,29,77,0
static,29,78,0
static,29,79,0
static,29,80,0
static,29,81,1
static,29,82,0
static,29,83,0
static,29,84,2
static,29,85,3
static,29,86,0
static,29,87,0
static,29,88,0
static,29,89,6
static,29,90,1
static,29,91,2
static,29,92,1
static,29,93,0
static,29,94,0
static,29,95,0
static,29,96,3
static,29,97,0
static,29,98,0
static,29,99,1
dynamic,29,0,0
